size,name,price,calorie,protein,fat,carbohydrate,dietary_fiber,isSet,isValueSet,isValueConb,category
,ビッグマック,390,525,26,28.3,41.8,2.6,690,600,400,main
,グラン クラブハウス,490,527,26.5,30.7,36.8,2.4,790,,,main
,グラン ベーコンチーズ,390,489,27.3,26.6,35.5,1.9,690,600,,main
,グラン ガーリックペッパー,390,428,19.9,21.7,38.9,2.3,690,,,main
,ダブルチーズバーガー,340,457,26.5,25,31.4,1.7,640,550,,main
,てりやきマックバーガー,340,478,15.5,30.2,36.4,1.7,640,550,,main
,フィレオフィッシュ,340,323,14.4,13.9,35.8,2.1,640,550,,main
,チキンフィレオ,360,465,20,21.9,47.3,2.8,660,,400,main
,てりやきチキンフィレオ,370,498,20.2,23.2,52.4,2.8,670,550,,main
,ベーコンレタスバーガー,360,374,17.7,20.8,29.1,1.7,660,,,main
,えびフィレオ,390,395,12.5,17.4,47.7,2.9,690,,,main
,スパイシーチキンバーガー,200,389,14.2,20.2,38.1,2.2,500,,,main
,エッグチーズバーガー,200,387,22.3,18.9,31,1.5,500,,,main
,チキンチーズバーガー,200,431,17.1,23,39.2,2.2,500,,,main
,ベーコンマックポーク,200,419,17.2,23.7,34.3,1.5,500,,,main
,ハンバーガー,110,256,12.8,9.4,30.3,1.5,,,,main
,チキンクリスプ,110,345,14,15.5,37.7,1.9,,,,main
,チーズバーガー,140,307,15.8,13.4,30.8,1.5,,,,main
,チキンマックナゲット 5ピース,200,270,15.8,17.2,13.1,0.9,0,0,,side
,チキンマックナゲット 15ピース,580,810,47.3,51.6,39.2,2.6,,,,side
,サイドサラダ,280,10,0.5,0.1,2.3,0.8,0,0,,side
,スイートコーン,230,58,1.8,1,10.2,2,0,0,,side
S,マックフライポテト,150,225,2.9,11.3,28,2.6,-50,-50,,side
M,マックフライポテト,280,410,5.3,20.6,51,4.8,0,0,,side
L,マックフライポテト,330,517,6.7,25.9,64.3,6,50,50,,side
,シャカチキ(チキンのみ),150,243,14.8,12.8,17.2,1.1,,,,side
,シャカチキ レッドペッパー,150,249,15,12.9,18.3,1.2,,,,side
,シャカチキ チェダーチーズ,150,252,15.3,13.1,18.2,1.1,,,,side
S,マックシェイク® バニラ,120,218,4.5,2,45.5,0.3,0,0,,dessert
M,マックシェイク® バニラ,200,361,7.2,3.2,75.9,0.5,20,20,,dessert
S,マックシェイク® チョコレート,120,228,5,2.4,46.8,1.1,0,0,,dessert
M,マックシェイク® チョコレート,200,380,8.1,3.9,78.2,1.9,20,20,,dessert
S,マックシェイク® ストロベリー,120,221,4.5,2,46.2,0.3,0,0,,dessert
M,マックシェイク® ストロベリー,200,366,7.2,3.2,77.1,0.5,20,20,,dessert
,マックフルーリー® オレオ®クッキー,240,235,6,6.9,37.6,0.5,,,,dessert
,マックフルーリー® 超 オレオ®,290,337,8.1,10.5,53.2,1.4,,,,dessert
,ワッフルコーン ストロベリー,200,257,5.5,5.4,46.7,0.8,,,,dessert
,ワッフルコーン チョコ&アーモンド,200,295,6,10.6,44,0.9,,,,dessert
,ワッフルコーン プレーン,150,232,5.4,5.4,40.5,0.5,,,,dessert
,ソフトツイスト,100,148,3.9,3.8,24.6,0.1,,,,dessert
,マックフロート グレープ,290,205,2.8,2.9,41.9,0,60,60,,dessert
,マックフロート メロン,290,205,2.8,2.9,41.9,0,60,60,,dessert
,マックフロート コーク®,290,195,2.8,2.9,39.4,0,60,60,,dessert
,マックフロート コーヒー,290,114,3.2,3,18.6,0,60,60,,dessert
,ホットアップルパイ,100,211,1.9,10.7,26.8,1,,,,dessert
,プチパンケーキ,200,161,3.8,4.4,26.4,1.3,,,,dessert
,ホットアップルパイ,100,211,1.9,10.7,26.8,1,,,,dessert
,プチパンケーキ,200,161,3.8,4.4,26.4,1.3,,,,dessert
S,コカ・コーラ ゼロ,100,0,0,0,0,0,,,0,drink
M,コカ・コーラ ゼロ,220,0,0,0,0,0,0,0,50,drink
L,コカ・コーラ ゼロ,250,0,0,0,0,0,20,20,,drink
S,コカ・コーラ,100,90,0,0,22.7,0,,,0,drink
M,コカ・コーラ,220,140,0,0,35.1,0,0,0,50,drink
L,コカ・コーラ,250,181,0,0,45.4,0,20,20,,drink
S,スプライト,100,76,0,0,18.9,0,,,0,drink
M,スプライト,220,117,0,0,29.3,0,0,0,50,drink
L,スプライト,250,151,0,0,37.8,0,20,20,,drink
S,ファンタ グレープ,100,101,0,0,25.2,0,,,0,drink
M,ファンタ グレープ,220,156,0,0,39,0,0,0,50,drink
L,ファンタ グレープ,250,202,0,0,50.4,0,20,20,,drink
S,ファンタ メロン,100,101,0,0,25.2,0,,,0,drink
M,ファンタ メロン,220,156,0,0,39,0,0,0,50,drink
L,ファンタ メロン,250,202,0,0,50.4,0,20,20,,drink
S,Qoo すっきり白ブドウ,100,94,0.2,0.2,22.9,0,,,0,drink
M,Qoo すっきり白ブドウ,220,146,0.3,0.3,35.4,0,0,0,50,drink
L,Qoo すっきり白ブドウ,250,189,0.4,0.4,45.8,0,20,20,,drink
S,爽健美茶,100,0,0,0,0,0,,,0,drink
M,爽健美茶,220,0,0,0,0,0,0,0,50,drink
L,爽健美茶,250,0,0,0,0,0,20,20,,drink
S,アールグレイ アイスティー,100,2,0,0,0,0,,,0,drink
M,アールグレイ アイスティー,220,3,0,0,0,0,0,0,50,drink
L,アールグレイ アイスティー,250,3,0,0,0,0,20,20,,drink
S,ホットティー,100,2,0.2,0,0.2,0,,,0,drink
M,ホットティー,220,3,0.3,0,0.3,0,20,20,50,drink
S,野菜生活100,150,77,0.8,0.1,18.2,0.4,,,0,drink
M,野菜生活100,240,119,1.2,0.2,28.1,0.7,0,0,50,drink
L,野菜生活100,270,156,1.6,0.3,36.7,0.9,20,20,,drink
S,ミニッツメイド オレンジ,150,94,1.5,0.2,21.8,0.4,,,0,drink
M,ミニッツメイド オレンジ,240,146,2.3,0.3,33.8,0.7,0,0,50,drink
L,ミニッツメイド オレンジ,270,189,2.9,0.4,43.7,0.8,20,20,,drink
,ミニッツメイド アップル100,130,96,0,0,23.8,0,0,0,50,drink
,ミルク,190,138,6.8,7.8,9.9,0,0,0,50,drink
,サントリー黒烏龍茶#濃いめ,250,3,0,0,1,0.3,20,20,70,drink
S,プレミアムローストコーヒー,100,7,0.3,0,1.2,0,,,0,drink
M,プレミアムローストコーヒー,150,12,0.6,0,2.1,0,0,0,50,drink
S,カフェラテ,150,85,4.2,4.8,6.3,0,0,0,50,drink
M,カフェラテ,200,119,5.9,6.7,8.8,0,20,20,,drink
S,キャラメルラテ,210,136,4.3,4.8,18.7,0,40,40,90,drink
M,キャラメルラテ,260,170,6,6.7,21.2,0,60,60,,drink
S,プレミアムローストアイスコーヒー,100,6,0.3,0,1,0,,,0,drink
M,プレミアムローストアイスコーヒー,150,9,0.5,0,1.6,0,0,0,50,drink
L,プレミアムローストアイスコーヒー,210,12,0.6,0,2.1,0,20,20,,drink
S,アイスカフェラテ,150,73,3.6,4,5.4,0,0,0,50,drink
M,アイスカフェラテ,200,103,5.1,5.7,7.6,0,20,20,,drink
S,アイスキャラメルラテ,210,136,4.3,4.8,18.7,0,40,40,90,drink
M,アイスキャラメルラテ,260,170,6,6.7,21.2,0,60,60,,drink
