name,price,calorie,protein,fat,carbohydrate,dietary_fiber
ビッグマック,390,525,26,28.3,41.8,2.6
グラン クラブハウス,490,527,26.5,30.7,36.8,2.4
グラン ベーコンチーズ,390,489,27.3,26.6,35.5,1.9
グラン ガーリックペッパー,390,428,19.9,21.7,38.9,2.3
ダブルチーズバーガー,340,457,26.5,25,31.4,1.7
てりやきマックバーガー,340,478,15.5,30.2,36.4,1.7
フィレオフィッシュ,340,323,14.4,13.9,35.8,2.1
チキンフィレオ,360,465,20,21.9,47.3,2.8
てりやきチキンフィレオ,370,498,20.2,23.2,52.4,2.8
ベーコンレタスバーガー,360,374,17.7,20.8,29.1,1.7
えびフィレオ,390,395,12.5,17.4,47.7,2.9
スパチキ(スパイシーチキンバーガー),200,389,14.2,20.2,38.1,2.2
エグチ(エッグチーズバーガー),200,387,22.3,18.9,31,1.5
チキチー(チキンチーズバーガー),200,431,17.1,23,39.2,2.2
マクポ(ベーコンマックポーク),200,419,17.2,23.7,34.3,1.5
ハンバーガー,110,256,12.8,9.4,30.3,1.5
チキンクリスプ,110,345,14,15.5,37.7,1.9
チーズバーガー,140,307,15.8,13.4,30.8,1.5
